Date,Source,Site ID,POC,Daily Mean PM2.5 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
1/1/2020,AQS,340030010,3,2.3,ug/m3 LC,10,Fort Lee Near Road,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.85355,-73.96618
1/2/2020,AQS,340030010,3,12.9,ug/m3 LC,53,Fort Lee Near Road,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.85355,-73.96618
1/3/2020,AQS,340030010,3,20.3,ug/m3 LC,68,Fort Lee Near Road,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.85355,-73.96618
1/4/2020,AQS,340030010,3,18,ug/m3 LC,63,Fort Lee Near Road,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.85355,-73.96618
1/5/2020,AQS,340030010,3,1.7,ug/m3 LC,7,Fort Lee Near Road,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.85355,-73.96618
1/6/2020,AQS,340030010,3,8.7,ug/m3 LC,36,Fort Lee Near Road,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.85355,-73.96618
1/7/2020,AQS,340030010,3,9.7,ug/m3 LC,40,Fort Lee Near Road,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.85355,-73.96618
1/8/2020,AQS,340030010,3,7.7,ug/m3 LC,32,Fort Lee Near Road,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.85355,-73.96618
1/9/2020,AQS,340030010,3,4.1,ug/m3 LC,17,Fort Lee Near Road,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.85355,-73.96618
1/10/2020,AQS,340030010,3,11.4,ug/m3 LC,48,Fort Lee Near Road,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.85355,-73.96618
1/11/2020,AQS,340030010,3,10.7,ug/m3 LC,45,Fort Lee Near Road,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.85355,-73.96618
1/12/2020,AQS,340030010,3,6.2,ug/m3 LC,26,Fort Lee Near Road,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.85355,-73.96618
1/13/2020,AQS,340030010,3,9.9,ug/m3 LC,41,Fort Lee Near Road,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.85355,-73.96618
1/14/2020,AQS,340030010,3,16.4,ug/m3 LC,60,Fort Lee Near Road,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.85355,-73.96618
1/15/2020,AQS,340030010,3,17.4,ug/m3 LC,62,Fort Lee Near Road,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.85355,-73.96618
1/16/2020,AQS,340030010,3,13.9,ug/m3 LC,55,Fort Lee Near Road,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.85355,-73.96618
1/17/2020,AQS,340030010,3,3,ug/m3 LC,13,Fort Lee Near Road,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.85355,-73.96618
1/18/2020,AQS,340030010,3,7.7,ug/m3 LC,32,Fort Lee Near Road,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.85355,-73.96618
1/19/2020,AQS,340030010,3,5.5,ug/m3 LC,23,Fort Lee Near Road,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.85355,-73.96618
1/20/2020,AQS,340030010,3,4.6,ug/m3 LC,19,Fort Lee Near Road,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.85355,-73.96618
1/21/2020,AQS,340030010,3,6,ug/m3 LC,25,Fort Lee Near Road,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.85355,-73.96618
1/22/2020,AQS,340030010,3,12.2,ug/m3 LC,51,Fort Lee Near Road,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.85355,-73.96618
1/23/2020,AQS,340030010,3,24.1,ug/m3 LC,76,Fort Lee Near Road,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.85355,-73.96618
1/24/2020,AQS,340030010,3,25.5,ug/m3 LC,79,Fort Lee Near Road,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.85355,-73.96618
1/25/2020,AQS,340030010,3,11.9,ug/m3 LC,50,Fort Lee Near Road,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.85355,-73.96618
1/26/2020,AQS,340030010,3,5.3,ug/m3 LC,22,Fort Lee Near Road,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.85355,-73.96618
1/27/2020,AQS,340030010,3,6.2,ug/m3 LC,26,Fort Lee Near Road,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.85355,-73.96618
1/28/2020,AQS,340030010,3,3.5,ug/m3 LC,15,Fort Lee Near Road,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.85355,-73.96618
1/29/2020,AQS,340030010,3,3,ug/m3 LC,13,Fort Lee Near Road,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.85355,-73.96618
2/4/2020,AQS,340030010,3,20,ug/m3 LC,68,Fort Lee Near Road,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.85355,-73.96618
2/5/2020,AQS,340030010,3,4.8,ug/m3 LC,20,Fort Lee Near Road,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.85355,-73.96618
2/6/2020,AQS,340030010,3,7.8,ug/m3 LC,33,Fort Lee Near Road,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.85355,-73.96618
2/7/2020,AQS,340030010,3,7.8,ug/m3 LC,33,Fort Lee Near Road,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.85355,-73.96618
2/8/2020,AQS,340030010,3,6,ug/m3 LC,25,Fort Lee Near Road,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.85355,-73.96618
2/9/2020,AQS,340030010,3,10.6,ug/m3 LC,44,Fort Lee Near Road,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.85355,-73.96618
2/10/2020,AQS,340030010,3,10.7,ug/m3 LC,45,Fort Lee Near Road,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.85355,-73.96618
2/11/2020,AQS,340030010,3,12.9,ug/m3 LC,53,Fort Lee Near Road,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.85355,-73.96618
2/12/2020,AQS,340030010,3,7.8,ug/m3 LC,33,Fort Lee Near Road,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.85355,-73.96618
2/13/2020,AQS,340030010,3,11.6,ug/m3 LC,48,Fort Lee Near Road,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.85355,-73.96618
2/15/2020,AQS,340030010,3,6.7,ug/m3 LC,28,Fort Lee Near Road,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.85355,-73.96618
2/16/2020,AQS,340030010,3,11.3,ug/m3 LC,47,Fort Lee Near Road,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.85355,-73.96618
2/17/2020,AQS,340030010,3,10.6,ug/m3 LC,44,Fort Lee Near Road,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.85355,-73.96618
2/18/2020,AQS,340030010,3,12.4,ug/m3 LC,52,Fort Lee Near Road,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.85355,-73.96618
2/19/2020,AQS,340030010,3,9.3,ug/m3 LC,39,Fort Lee Near Road,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.85355,-73.96618
2/20/2020,AQS,340030010,3,4.1,ug/m3 LC,17,Fort Lee Near Road,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.85355,-73.96618
2/21/2020,AQS,340030010,3,5.1,ug/m3 LC,21,Fort Lee Near Road,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.85355,-73.96618
2/22/2020,AQS,340030010,3,11.1,ug/m3 LC,46,Fort Lee Near Road,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.85355,-73.96618
2/23/2020,AQS,340030010,3,13.7,ug/m3 LC,54,Fort Lee Near Road,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.85355,-73.96618
2/24/2020,AQS,340030010,3,19.4,ug/m3 LC,66,Fort Lee Near Road,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.85355,-73.96618
2/25/2020,AQS,340030010,3,17.5,ug/m3 LC,62,Fort Lee Near Road,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.85355,-73.96618
2/26/2020,AQS,340030010,3,13.7,ug/m3 LC,54,Fort Lee Near Road,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.85355,-73.96618
2/27/2020,AQS,340030010,3,2.5,ug/m3 LC,10,Fort Lee Near Road,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.85355,-73.96618
2/28/2020,AQS,340030010,3,6.2,ug/m3 LC,26,Fort Lee Near Road,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.85355,-73.96618
2/29/2020,AQS,340030010,3,2.9,ug/m3 LC,12,Fort Lee Near Road,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.85355,-73.96618
3/1/2020,AQS,340030010,3,7.6,ug/m3 LC,32,Fort Lee Near Road,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.85355,-73.96618
3/2/2020,AQS,340030010,3,14.7,ug/m3 LC,56,Fort Lee Near Road,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.85355,-73.96618
3/3/2020,AQS,340030010,3,15.1,ug/m3 LC,57,Fort Lee Near Road,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.85355,-73.96618
3/4/2020,AQS,340030010,3,5.6,ug/m3 LC,23,Fort Lee Near Road,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.85355,-73.96618
3/5/2020,AQS,340030010,3,6.1,ug/m3 LC,25,Fort Lee Near Road,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.85355,-73.96618
3/6/2020,AQS,340030010,3,8.3,ug/m3 LC,35,Fort Lee Near Road,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.85355,-73.96618
3/7/2020,AQS,340030010,3,3.5,ug/m3 LC,15,Fort Lee Near Road,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.85355,-73.96618
3/8/2020,AQS,340030010,3,5.8,ug/m3 LC,24,Fort Lee Near Road,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.85355,-73.96618
3/9/2020,AQS,340030010,3,11.7,ug/m3 LC,49,Fort Lee Near Road,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.85355,-73.96618
3/10/2020,AQS,340030010,3,11.2,ug/m3 LC,47,Fort Lee Near Road,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.85355,-73.96618
3/11/2020,AQS,340030010,3,5.3,ug/m3 LC,22,Fort Lee Near Road,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.85355,-73.96618
3/12/2020,AQS,340030010,3,11.3,ug/m3 LC,47,Fort Lee Near Road,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.85355,-73.96618
3/13/2020,AQS,340030010,3,11,ug/m3 LC,46,Fort Lee Near Road,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.85355,-73.96618
3/14/2020,AQS,340030010,3,4.6,ug/m3 LC,19,Fort Lee Near Road,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.85355,-73.96618
3/15/2020,AQS,340030010,3,4.7,ug/m3 LC,20,Fort Lee Near Road,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.85355,-73.96618
3/16/2020,AQS,340030010,3,5.8,ug/m3 LC,24,Fort Lee Near Road,1,100,88101,PM2.5 - Local Conditions,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.85355,-73.96618
